123,01.01.2019,0,0,0,0,E,75,meter tamper alarm
132,02.01.2019,0,0,0,0,E,75,meter tamper alarm
69,03.01.2019,75,248,273,851,A,,
56,04.01.2019,0,0,0,0,E,75,meter tamper alarm
123,05.01.2019,72,570,469,1214,A,,
201,07.01.2019,58,276,349,976,A,,
300,09.01.2019,56,336,203,902,E,76,
201,10.01.2019,81,201,390,940,A,,
56,11.01.2019,77,353,372,897,A,,
123,12.01.2019,52,530,522,1381,E,76,
123,13.01.2019,68,558,767,1235,A,,
204,14.01.2019,60,322,238,824,A,,
69,15.01.2019,77,302,222,948,A,,
69,17.01.2019,67,241,221,941,A,,
201,18.01.2019,76,212,333,888,A,,
240,19.01.2019,53,490,696,1285,A,,
201,20.01.2019,57,692,773,1293,E,76,
17,21.01.2019,0,0,0,0,E,75,meter tamper alarm
132,22.01.2019,64,296,225,996,A,,
150,23.01.2019,63,353,351,805,A,,
213,24.01.2019,64,245,244,970,A,,
201,25.01.2019,86,297,364,943,A,,
56,26.01.2019,73,678,678,1437,A,,
201,27.01.2019,83,654,517,1212,A,,
117,28.01.2019,58,390,202,816,A,,
69,29.01.2019,89,354,282,961,C,,
123,30.01.2019,53,267,206,852,A,,
69,31.01.2019,67,363,362,828,A,,
123,17.01.2019,67,241,-221,941,A,,



